run_id,timestamp,device_id,temp_c,vibration_g,current_a,rpm,label
R0040,2026-03-02T10:40:00,uno-q-01,46.13,0.2,2.146,2966,ok
R0041,2026-03-02T10:47:00,uno-q-02,44.14,0.436,1.512,3245,ok
R0042,2026-03-02T10:54:00,uno-q-03,50.69,0.472,1.813,2768,ok
R0043,2026-03-02T11:01:00,rpi5-01,47.7,0.28,1.975,2768,ok
R0044,2026-03-02T11:08:00,uno-q-01,45.82,0.53,2.195,2849,ok
R0045,2026-03-02T11:15:00,uno-q-02,44.32,0.499,2.029,2866,ok
R0046,2026-03-02T11:22:00,uno-q-03,46.33,0.358,1.6,2892,ok
R0047,2026-03-02T11:29:00,rpi5-01,51.0,0.482,2.282,2942,ok
R0048,2026-03-02T11:36:00,uno-q-01,47.68,0.332,1.824,2838,ok
R0049,2026-03-02T11:43:00,uno-q-02,43.73,0.483,2.152,3021,ok
R0050,2026-03-02T11:50:00,uno-q-03,51.2,0.443,1.699,2957,ok
R0051,2026-03-02T11:57:00,rpi5-01,47.1,0.32,1.495,2823,ok
R0052,2026-03-02T12:04:00,uno-q-01,47.99,0.434,1.75,3071,ok
R0053,2026-03-02T12:11:00,uno-q-02,48.43,0.472,2.106,2880,ok
R0054,2026-03-02T12:18:00,uno-q-03,43.27,0.488,1.705,3061,ok
R0055,2026-03-02T12:25:00,rpi5-01,48.81,0.511,2.01,2773,ok
R0056,2026-03-02T12:32:00,uno-q-01,49.73,0.359,1.691,2913,ok
R0057,2026-03-02T12:39:00,uno-q-02,49.84,0.5,2.062,2808,ok
R0058,2026-03-02T12:46:00,uno-q-03,46.58,0.206,1.829,3001,ok
R0059,2026-03-02T12:53:00,rpi5-01,46.17,0.442,1.899,3035,ok
R0060,2026-03-02T13:00:00,uno-q-01,46.03,0.345,1.69,3098,ok
R0061,2026-03-02T13:07:00,uno-q-02,50.62,0.409,1.897,2959,ok
R0062,2026-03-02T13:14:00,uno-q-03,48.49,0.401,1.78,2843,ok
R0063,2026-03-02T13:21:00,rpi5-01,46.46,0.569,1.963,2955,ok
R0064,2026-03-02T13:28:00,uno-q-01,47.48,0.426,1.924,2895,ok
R0065,2026-03-02T13:35:00,uno-q-02,48.47,0.442,1.693,2882,ok
R0066,2026-03-02T13:42:00,uno-q-03,45.6,0.324,2.037,2749,ok
R0067,2026-03-02T13:49:00,rpi5-01,47.36,0.365,1.72,2958,ok
R0068,2026-03-02T13:56:00,uno-q-01,50.71,0.427,1.821,2897,ok
R0069,2026-03-02T14:03:00,uno-q-02,47.69,0.502,1.767,2852,ok
R0070,2026-03-02T14:10:00,uno-q-03,44.97,0.32,1.558,3043,ok
R0071,2026-03-02T14:17:00,rpi5-01,48.85,0.399,2.157,2894,ok
R0072,2026-03-02T14:24:00,uno-q-01,49.81,0.492,1.525,2817,ok
R0073,2026-03-02T14:31:00,uno-q-02,45.77,0.502,2.122,2845,ok
R0074,2026-03-02T14:38:00,uno-q-03,64.52,1.286,2.567,2303,fault
R0075,2026-03-02T14:45:00,rpi5-01,47.22,0.256,1.64,2844,ok
R0076,2026-03-02T14:52:00,uno-q-01,49.18,0.608,2.424,2921,ok
R0077,2026-03-02T14:59:00,uno-q-02,43.87,0.383,1.653,3118,ok
R0078,2026-03-02T15:06:00,uno-q-03,49.37,0.354,2.047,2995,ok
R0079,2026-03-02T15:13:00,rpi5-01,44.1,0.372,1.8,2951,ok
R0080,2026-03-02T15:20:00,uno-q-01,48.32,0.389,1.89,2900,ok
R0081,2026-03-02T15:27:00,uno-q-02,45.85,0.556,1.926,2987,ok
R0082,2026-03-02T15:34:00,uno-q-03,44.17,0.405,2.022,2840,ok
R0083,2026-03-02T15:41:00,rpi5-01,50.63,0.385,1.935,2938,ok
R0084,2026-03-02T15:48:00,uno-q-01,48.52,0.528,1.765,3082,ok
R0085,2026-03-02T15:55:00,uno-q-02,46.12,0.336,1.999,2859,ok
R0086,2026-03-02T16:02:00,uno-q-03,47.11,0.502,2.104,2799,ok
R0087,2026-03-02T16:09:00,rpi5-01,49.21,0.59,2.101,2929,ok
R0088,2026-03-02T16:16:00,uno-q-01,46.56,0.393,1.608,2927,ok
R0089,2026-03-02T16:23:00,uno-q-02,47.55,0.407,2.098,2930,ok
R0090,2026-03-02T16:30:00,uno-q-03,44.5,0.515,1.625,2911,ok
R0091,2026-03-02T16:37:00,rpi5-01,47.68,0.389,1.639,2928,ok
R0092,2026-03-02T16:44:00,uno-q-01,53.24,0.365,1.821,3045,ok
R0093,2026-03-02T16:51:00,uno-q-02,49.79,0.489,2.031,2782,ok
R0094,2026-03-02T16:58:00,uno-q-03,45.93,0.432,1.955,3060,ok
R0095,2026-03-02T17:05:00,rpi5-01,49.13,0.399,1.858,2932,ok
R0096,2026-03-02T17:12:00,uno-q-01,48.59,0.481,1.779,2880,ok
R0097,2026-03-02T17:19:00,uno-q-02,45.95,0.519,2.119,3034,ok
R0098,2026-03-02T17:26:00,uno-q-03,50.06,0.495,1.85,3006,ok
R0099,2026-03-02T17:33:00,rpi5-01,45.47,0.402,1.696,3011,ok
R0100,2026-03-02T17:40:00,uno-q-01,46.61,0.41,1.934,3065,ok
R0101,2026-03-02T17:47:00,uno-q-02,46.1,0.336,2.022,2855,ok
R0102,2026-03-02T17:54:00,uno-q-03,49.09,0.369,1.828,2795,ok
R0103,2026-03-02T18:01:00,rpi5-01,49.71,0.375,1.661,3126,ok
R0104,2026-03-02T18:08:00,uno-q-01,49.71,0.736,1.936,2920,ok
R0105,2026-03-02T18:15:00,uno-q-02,48.26,0.565,1.844,2988,ok
R0106,2026-03-02T18:22:00,uno-q-03,49.24,0.338,1.877,2907,ok
R0107,2026-03-02T18:29:00,rpi5-01,45.01,0.498,1.99,2956,ok
R0108,2026-03-02T18:36:00,uno-q-01,45.82,0.239,1.952,2941,ok
R0109,2026-03-02T18:43:00,uno-q-02,43.96,0.415,1.531,2947,ok
R0110,2026-03-02T18:50:00,uno-q-03,48.34,0.452,1.896,2964,ok
R0111,2026-03-02T18:57:00,rpi5-01,59.26,1.285,2.543,2329,fault
R0112,2026-03-02T19:04:00,uno-q-01,48.65,0.476,2.193,2731,ok
R0113,2026-03-02T19:11:00,uno-q-02,48.96,0.402,2.328,3029,ok
R0114,2026-03-02T19:18:00,uno-q-03,44.03,0.456,1.741,3034,ok
R0115,2026-03-02T19:25:00,rpi5-01,45.47,0.411,1.822,2941,ok
R0116,2026-03-02T19:32:00,uno-q-01,46.6,0.255,1.947,3034,ok
R0117,2026-03-02T19:39:00,uno-q-02,47.84,0.328,1.893,2998,ok
R0118,2026-03-02T19:46:00,uno-q-03,47.58,0.419,2.146,2854,ok
R0119,2026-03-02T19:53:00,rpi5-01,46.66,0.248,1.703,2887,ok
R0120,2026-03-02T20:00:00,uno-q-01,45.7,0.358,2.227,2933,ok
R0121,2026-03-02T20:07:00,uno-q-02,47.73,0.618,1.837,2802,ok
R0122,2026-03-02T20:14:00,uno-q-03,48.97,0.336,2.194,2844,ok
R0123,2026-03-02T20:21:00,rpi5-01,46.61,0.275,1.87,2863,ok
R0124,2026-03-02T20:28:00,uno-q-01,47.84,0.386,1.721,3030,ok
R0125,2026-03-02T20:35:00,uno-q-02,50.25,0.426,1.661,2859,ok
R0126,2026-03-02T20:42:00,uno-q-03,48.65,0.635,1.754,2883,ok
R0127,2026-03-02T20:49:00,rpi5-01,46.33,0.321,1.646,2932,ok
R0128,2026-03-02T20:56:00,uno-q-01,51.44,0.42,1.743,2812,ok
R0129,2026-03-02T21:03:00,uno-q-02,48.51,0.418,1.592,2857,ok
R0130,2026-03-02T21:10:00,uno-q-03,47.9,0.511,1.982,2967,ok
R0131,2026-03-02T21:17:00,rpi5-01,47.22,0.449,1.847,3134,ok
R0132,2026-03-02T21:24:00,uno-q-01,45.28,0.387,2.116,2927,ok
R0133,2026-03-02T21:31:00,uno-q-02,51.42,0.416,1.881,2918,ok
R0134,2026-03-02T21:38:00,uno-q-03,44.69,0.333,2.315,3004,ok
R0135,2026-03-02T21:45:00,rpi5-01,49.45,0.506,1.97,3036,ok
R0136,2026-03-02T21:52:00,uno-q-01,47.36,0.4,2.057,2920,ok
R0137,2026-03-02T21:59:00,uno-q-02,44.81,0.4,1.736,3002,ok
R0138,2026-03-02T22:06:00,uno-q-03,46.27,0.324,1.78,3081,ok
R0139,2026-03-02T22:13:00,rpi5-01,47.88,0.434,1.852,2975,ok
R0140,2026-03-02T22:20:00,uno-q-01,50.23,0.546,1.505,3065,ok
R0141,2026-03-02T22:27:00,uno-q-02,47.99,0.391,2.354,2935,ok
R0142,2026-03-02T22:34:00,uno-q-03,52.67,0.507,1.634,2991,ok
R0143,2026-03-02T22:41:00,rpi5-01,49.77,0.409,1.361,2920,ok
R0144,2026-03-02T22:48:00,uno-q-01,47.54,0.32,2.233,2929,ok
R0145,2026-03-02T22:55:00,uno-q-02,47.06,0.393,1.685,2884,ok
R0146,2026-03-02T23:02:00,uno-q-03,48.23,0.448,1.743,2942,ok
R0147,2026-03-02T23:09:00,rpi5-01,44.66,0.467,1.693,2968,ok
R0148,2026-03-02T23:16:00,uno-q-01,59.82,1.274,2.695,2247,fault
R0149,2026-03-02T23:23:00,uno-q-02,53.93,0.417,1.835,2887,ok
R0150,2026-03-02T23:30:00,uno-q-03,51.83,0.545,1.913,2833,ok
R0151,2026-03-02T23:37:00,rpi5-01,46.79,0.475,1.742,2849,ok
R0152,2026-03-02T23:44:00,uno-q-01,45.15,0.351,1.853,2894,ok
R0153,2026-03-02T23:51:00,uno-q-02,48.04,0.671,2.222,2861,ok
R0154,2026-03-02T23:58:00,uno-q-03,48.82,0.428,1.821,3038,ok
R0155,2026-03-03T00:05:00,rpi5-01,47.2,0.391,1.771,2941,ok
R0156,2026-03-03T00:12:00,uno-q-01,51.09,0.49,1.568,2912,ok
R0157,2026-03-03T00:19:00,uno-q-02,46.09,0.493,1.897,3025,ok
R0158,2026-03-03T00:26:00,uno-q-03,47.85,0.248,1.945,2969,ok
R0159,2026-03-03T00:33:00,rpi5-01,49.22,0.303,1.867,2891,ok
R0160,2026-03-03T00:40:00,uno-q-01,46.35,0.452,1.924,2874,ok
R0161,2026-03-03T00:47:00,uno-q-02,43.89,0.197,1.729,3045,ok
R0162,2026-03-03T00:54:00,uno-q-03,47.87,0.217,1.669,2985,ok
R0163,2026-03-03T01:01:00,rpi5-01,52.01,0.525,1.927,2966,ok
R0164,2026-03-03T01:08:00,uno-q-01,45.46,0.379,1.78,2884,ok
R0165,2026-03-03T01:15:00,uno-q-02,48.15,0.385,1.921,3071,ok
R0166,2026-03-03T01:22:00,uno-q-03,49.78,0.458,1.799,2820,ok
R0167,2026-03-03T01:29:00,rpi5-01,47.73,0.469,1.638,3056,ok
R0168,2026-03-03T01:36:00,uno-q-01,47.2,0.453,1.781,2843,ok
R0169,2026-03-03T01:43:00,uno-q-02,52.96,0.315,2.043,2902,ok
R0170,2026-03-03T01:50:00,uno-q-03,48.67,0.347,1.763,3028,ok
R0171,2026-03-03T01:57:00,rpi5-01,52.67,0.344,1.852,3030,ok
R0172,2026-03-03T02:04:00,uno-q-01,46.49,0.484,1.685,3001,ok
R0173,2026-03-03T02:11:00,uno-q-02,49.05,0.529,1.926,2848,ok
R0174,2026-03-03T02:18:00,uno-q-03,49.59,0.321,2.008,3078,ok
R0175,2026-03-03T02:25:00,rpi5-01,49.43,0.37,2.1,2964,ok
R0176,2026-03-03T02:32:00,uno-q-01,45.01,0.388,2.148,2924,ok
R0177,2026-03-03T02:39:00,uno-q-02,48.29,0.389,1.496,2906,ok
R0178,2026-03-03T02:46:00,uno-q-03,48.86,0.439,1.813,2768,ok
R0179,2026-03-03T02:53:00,rpi5-01,50.93,0.485,2.065,3060,ok
R0180,2026-03-03T03:00:00,uno-q-01,46.93,0.366,1.916,3092,ok
R0181,2026-03-03T03:07:00,uno-q-02,43.95,0.399,1.7,2997,ok
R0182,2026-03-03T03:14:00,uno-q-03,51.51,0.393,1.589,2954,ok
R0183,2026-03-03T03:21:00,rpi5-01,47.32,0.281,2.036,2905,ok
R0184,2026-03-03T03:28:00,uno-q-01,49.64,0.302,2.08,2827,ok
R0185,2026-03-03T03:35:00,uno-q-02,64.53,1.157,2.94,2318,fault
R0186,2026-03-03T03:42:00,uno-q-03,44.27,0.399,1.921,2865,ok
R0187,2026-03-03T03:49:00,rpi5-01,46.82,0.444,1.815,2689,ok
R0188,2026-03-03T03:56:00,uno-q-01,46.97,0.458,1.912,3035,ok
R0189,2026-03-03T04:03:00,uno-q-02,46.34,0.65,2.018,2976,ok
R0190,2026-03-03T04:10:00,uno-q-03,50.6,0.506,1.871,2897,ok
R0191,2026-03-03T04:17:00,rpi5-01,50.46,0.458,1.453,2856,ok
R0192,2026-03-03T04:24:00,uno-q-01,49.12,0.43,1.909,3004,ok
R0193,2026-03-03T04:31:00,uno-q-02,48.35,0.562,1.726,2916,ok
R0194,2026-03-03T04:38:00,uno-q-03,48.77,0.487,2.015,3076,ok
R0195,2026-03-03T04:45:00,rpi5-01,46.86,0.525,1.948,2861,ok
R0196,2026-03-03T04:52:00,uno-q-01,47.67,0.608,2.015,2910,ok
R0197,2026-03-03T04:59:00,uno-q-02,42.24,0.354,1.702,2956,ok
R0198,2026-03-03T05:06:00,uno-q-03,53.55,0.487,1.916,2870,ok
R0199,2026-03-03T05:13:00,rpi5-01,45.15,0.401,1.752,3205,ok
R0200,2026-03-03T05:20:00,uno-q-01,47.03,0.365,2.087,2956,ok
R0201,2026-03-03T05:27:00,uno-q-02,45.04,0.536,1.784,2837,ok
R0202,2026-03-03T05:34:00,uno-q-03,48.77,0.464,1.779,3009,ok
R0203,2026-03-03T05:41:00,rpi5-01,49.97,0.341,1.418,2746,ok
R0204,2026-03-03T05:48:00,uno-q-01,47.69,0.531,2.061,3068,ok
R0205,2026-03-03T05:55:00,uno-q-02,52.45,0.421,2.072,2820,ok
R0206,2026-03-03T06:02:00,uno-q-03,49.65,0.455,1.83,2912,ok
R0207,2026-03-03T06:09:00,rpi5-01,45.32,0.433,2.118,2918,ok
R0208,2026-03-03T06:16:00,uno-q-01,49.27,0.36,1.903,2864,ok
R0209,2026-03-03T06:23:00,uno-q-02,48.91,0.4,1.916,2898,ok
R0210,2026-03-03T06:30:00,uno-q-03,45.18,0.39,2.068,3084,ok
R0211,2026-03-03T06:37:00,rpi5-01,47.22,0.492,2.009,2983,ok
R0212,2026-03-03T06:44:00,uno-q-01,44.28,0.449,1.646,3049,ok
R0213,2026-03-03T06:51:00,uno-q-02,49.89,0.476,1.317,3002,ok
R0214,2026-03-03T06:58:00,uno-q-03,49.68,0.305,2.054,2956,ok
R0215,2026-03-03T07:05:00,rpi5-01,47.56,0.356,1.636,2913,ok
R0216,2026-03-03T07:12:00,uno-q-01,55.41,0.438,1.894,2894,ok
R0217,2026-03-03T07:19:00,uno-q-02,46.52,0.37,1.664,3024,ok
R0218,2026-03-03T07:26:00,uno-q-03,47.35,0.498,1.607,3028,ok
R0219,2026-03-03T07:33:00,rpi5-01,47.94,0.48,1.828,2874,ok
R0220,2026-03-03T07:40:00,uno-q-01,50.91,0.381,1.819,2874,ok
R0221,2026-03-03T07:47:00,uno-q-02,48.49,0.385,1.909,2979,ok
R0222,2026-03-03T07:54:00,uno-q-03,60.35,1.193,2.741,2427,fault
R0223,2026-03-03T08:01:00,rpi5-01,49.67,0.317,1.977,2982,ok
R0224,2026-03-03T08:08:00,uno-q-01,48.68,0.459,1.782,2968,ok
R0225,2026-03-03T08:15:00,uno-q-02,50.22,0.375,1.548,2941,ok
R0226,2026-03-03T08:22:00,uno-q-03,48.47,0.254,1.708,3000,ok
R0227,2026-03-03T08:29:00,rpi5-01,47.64,0.428,1.586,3027,ok
R0228,2026-03-03T08:36:00,uno-q-01,52.21,0.402,1.696,2851,ok
R0229,2026-03-03T08:43:00,uno-q-02,50.14,0.429,1.683,3053,ok
R0230,2026-03-03T08:50:00,uno-q-03,49.84,0.474,1.48,2941,ok
R0231,2026-03-03T08:57:00,rpi5-01,49.5,0.31,2.045,3071,ok
R0232,2026-03-03T09:04:00,uno-q-01,50.48,0.355,1.701,3030,ok
R0233,2026-03-03T09:11:00,uno-q-02,50.39,0.531,2.102,2941,ok
R0234,2026-03-03T09:18:00,uno-q-03,47.02,0.253,2.015,3143,ok
R0235,2026-03-03T09:25:00,rpi5-01,46.89,0.377,1.986,2981,ok
R0236,2026-03-03T09:32:00,uno-q-01,44.71,0.356,1.619,3121,ok
R0237,2026-03-03T09:39:00,uno-q-02,46.28,0.497,2.253,3111,ok
R0238,2026-03-03T09:46:00,uno-q-03,51.42,0.567,1.591,2920,ok
R0239,2026-03-03T09:53:00,rpi5-01,46.25,0.394,2.4,2807,ok
R0240,2026-03-03T10:00:00,uno-q-01,49.34,0.309,2.131,3060,ok
R0241,2026-03-03T10:07:00,uno-q-04,48.10,0.421,1.874,2950,ok
